county,fips,collection_week,inpatient_beds,inpatient_beds_occupied,inpatient_percent_occupied,icu_beds,icu_beds_occupied,icu_percent_occupied
baltimore_city,24510,2020-09-18,3068.6,2518.2,0.8206348171804732,531.7,426.5,0.8021440662027458
allegany,24001,2020-09-25,171.6,162.1,0.9446386946386947,28,10.4,0.37142857142857144
anne_arundel,24003,2020-09-25,652.1,545.4,0.8363747891427694,66.1,49.6,0.7503782148260213
baltimore,24005,2020-09-25,878.3,762.2,0.8678128202208814,105,81.8,0.779047619047619
calvert,24009,2020-09-25,50.6,44.1,0.8715415019762845,5.3,4.3,0.8113207547169812
caroline,24011,2020-09-25,NA,NA,NA,NA,NA,NA
carroll,24013,2020-09-25,130.7,112.1,0.8576893649579189,10,7,0.7
cecil,24015,2020-09-25,81.6,51.1,0.6262254901960785,8.7,4.3,0.4942528735632184
charles,24017,2020-09-25,93.3,73.9,0.7920685959271169,6.1,5.5,0.9016393442622951
dorchester,24019,2020-09-25,NA,NA,NA,NA,NA,NA
frederick,24021,2020-09-25,238,146.4,0.6151260504201681,19,11.4,0.6
garrett,24023,2020-09-25,NA,NA,NA,NA,NA,NA
harford,24025,2020-09-25,211,187,0.8862559241706162,29.9,25.400000000000002,0.8494983277591974
howard,24027,2020-09-25,302,197,0.652317880794702,30,15.4,0.5133333333333333
kent,24029,2020-09-25,6.8,5.5,0.8088235294117647,0,0,NA
montgomery,24031,2020-09-25,1209.6,943.9,0.7803406084656085,168.1,90.5,0.5383700178465199
prince_georges,24033,2020-09-25,871.4,623,0.7149414734909342,133.1,93.1,0.6994740796393689
queen_annes,24035,2020-09-25,NA,NA,NA,NA,NA,NA
st_marys,24037,2020-09-25,117,81.1,0.6931623931623931,18,8,0.4444444444444444
somerset,24039,2020-09-25,NA,NA,NA,NA,NA,NA
talbot,24041,2020-09-25,68.2,65.8,0.9648093841642228,6.5,6.3,0.9692307692307692
washington,24043,2020-09-25,212,196.3,0.9259433962264152,24,15.9,0.6625
wicomico,24045,2020-09-25,349,225.6,0.6464183381088825,86,34,0.3953488372093023
worcester,24047,2020-09-25,45,37.4,0.8311111111111111,8,5.4,0.675
baltimore_city,24510,2020-09-25,3037.4,2487.2,0.8188582340159346,519,410.8,0.7915221579961464
allegany,24001,2020-10-02,170.1,157.9,0.9282774838330394,28,10.1,0.3607142857142857
anne_arundel,24003,2020-10-02,654.9,555.3,0.847915712322492,67.1,51.7,0.7704918032786886
baltimore,24005,2020-10-02,878.5,742.3,0.8449630051223677,99.9,73.3,0.7337337337337336
calvert,24009,2020-10-02,54,50.6,0.9370370370370371,6.1,5.7,0.9344262295081968
caroline,24011,2020-10-02,NA,NA,NA,NA,NA,NA
carroll,24013,2020-10-02,131.3,121.4,0.9246001523229246,11.6,10,0.8620689655172414
cecil,24015,2020-10-02,NA,NA,NA,NA,NA,NA
charles,24017,2020-10-02,104.9,73.2,0.69780743565300285,7.1,6,0.8450704225352114
