date,county,prob_deaths,fips,new_prob_deaths
2020-08-11,wicomico,0,24045,0
2020-08-11,worcester,1,24047,0
2020-08-11,unknown,2,NA,0
2020-08-12,allegany,0,24001,0
2020-08-12,anne_arundel,10,24003,0
2020-08-12,baltimore,22,24005,0
2020-08-12,baltimore_city,16,24510,0
2020-08-12,calvert,1,24009,0
2020-08-12,caroline,0,24011,0
2020-08-12,carroll,3,24013,1
2020-08-12,cecil,1,24015,0
2020-08-12,charles,2,24017,0
2020-08-12,dorchester,0,24019,0
2020-08-12,frederick,7,24021,0
2020-08-12,garrett,0,24023,0
2020-08-12,harford,3,24025,0
2020-08-12,howard,6,24027,0
2020-08-12,kent,1,24029,0
2020-08-12,montgomery,39,24031,0
2020-08-12,prince_georges,23,24033,0
2020-08-12,queen_annes,1,24035,0
2020-08-12,somerset,0,24039,0
2020-08-12,st_marys,0,24037,0
2020-08-12,talbot,0,24041,0
2020-08-12,washington,0,24043,0
2020-08-12,wicomico,0,24045,0
2020-08-12,worcester,1,24047,0
2020-08-12,unknown,2,NA,0
2020-08-13,allegany,0,24001,0
2020-08-13,anne_arundel,10,24003,0
2020-08-13,baltimore,22,24005,0
2020-08-13,baltimore_city,15,24510,0
2020-08-13,calvert,1,24009,0
2020-08-13,caroline,0,24011,0
2020-08-13,carroll,3,24013,0
2020-08-13,cecil,1,24015,0
2020-08-13,charles,2,24017,0
2020-08-13,dorchester,0,24019,0
2020-08-13,frederick,7,24021,0
2020-08-13,garrett,0,24023,0
2020-08-13,harford,3,24025,0
2020-08-13,howard,6,24027,0
2020-08-13,kent,1,24029,0
2020-08-13,montgomery,39,24031,0
2020-08-13,prince_georges,23,24033,0
2020-08-13,queen_annes,1,24035,0
2020-08-13,somerset,0,24039,0
2020-08-13,st_marys,0,24037,0
2020-08-13,talbot,0,24041,0
2020-08-13,washington,0,24043,0
2020-08-13,wicomico,0,24045,0
2020-08-13,worcester,1,24047,0
2020-08-13,unknown,2,NA,0
2020-08-14,allegany,0,24001,0
2020-08-14,anne_arundel,10,24003,0
2020-08-14,baltimore,23,24005,1
2020-08-14,baltimore_city,15,24510,0
2020-08-14,calvert,1,24009,0
