County,date,new_cases,rolling_avg
Harford,2021-01-30,101,78.71428571428571
Howard,2021-01-30,88,77.42857142857143
Kent,2021-01-30,6,5.714285714285714
Montgomery,2021-01-30,402,340.2857142857143
Prince George's,2021-01-30,321,347.42857142857144
Queen Anne's,2021-01-30,25,12
Somerset,2021-01-30,11,11.142857142857142
St. Mary's,2021-01-30,41,32
Talbot,2021-01-30,27,12.571428571428571
Washington,2021-01-30,69,61.142857142857146
Wicomico,2021-01-30,65,43.714285714285715
Worcester,2021-01-30,19,15.428571428571429
