date,county,fips,daily,average
2020-04-11,charles,24017,0.1727,0.19949999999999998
2020-04-11,dorchester,24019,0.0667,0.069
2020-04-11,frederick,24021,0.2394,0.1928
2020-04-11,garrett,24023,0,0.011000000000000001
2020-04-11,harford,24025,0.08470000000000001,0.1009
2020-04-11,howard,24027,0.2348,0.2332
2020-04-11,kent,24029,0.16670000000000001,0.1159
2020-04-11,montgomery,24031,0.3362,0.26
2020-04-11,prince_georges,24033,0.38770000000000004,0.369
2020-04-11,queen_annes,24035,0.2,0.08070000000000001
2020-04-11,somerset,24039,0,0
2020-04-11,st_marys,24037,0.0556,0.12179999999999999
2020-04-11,talbot,24041,0,0.08199999999999999
2020-04-11,washington,24043,0.129,0.1217
2020-04-11,wicomico,24045,0.4,0.18309999999999998
2020-04-11,worcester,24047,0.2143,0.1417
2020-04-12,allegany,24001,0.1765,0.0644
2020-04-12,anne_arundel,24003,0.2969,0.2119
2020-04-12,baltimore,24005,0.17170000000000002,0.1413
2020-04-12,baltimore_city,24510,0.24359999999999998,0.2192
2020-04-12,calvert,24009,0.1923,0.1769
2020-04-12,caroline,24011,0.125,0.1081
2020-04-12,carroll,24013,0.23079999999999998,0.17129999999999998
2020-04-12,cecil,24015,0.5,0.15310000000000001
2020-04-12,charles,24017,0.1975,0.2048
2020-04-12,dorchester,24019,0.1,0.0833
2020-04-12,frederick,24021,0.3553,0.2266
2020-04-12,garrett,24023,0,0.0128
2020-04-12,harford,24025,0.07139999999999999,0.10039999999999999
2020-04-12,howard,24027,0.24530000000000002,0.2332
2020-04-12,kent,24029,0.125,0.13369999999999999
2020-04-12,montgomery,24031,0.2788,0.278
2020-04-12,prince_georges,24033,0.35259999999999997,0.37060000000000004
2020-04-12,queen_annes,24035,0,0.08070000000000001
2020-04-12,somerset,24039,0,0
2020-04-12,st_marys,24037,0.2778,0.13699999999999998
2020-04-12,talbot,24041,0.1333,0.10099999999999999
2020-04-12,washington,24043,0.11109999999999999,0.1275
2020-04-12,wicomico,24045,0.2857,0.1991
2020-04-12,worcester,24047,0,0.1131
